DateTime,MainStatus,SubStatus,FullStatus,StatusText,T,Service,FaultMsg,Value0
26/11/2014 08:01:26,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.3
26/11/2014 08:02:00,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
26/11/2014 09:48:26,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.2
26/11/2014 09:48:28,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.3
26/11/2014 09:52:05,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.6
26/11/2014 10:50:27,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
26/11/2014 12:35:48,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.2
26/11/2014 12:35:50,0,1,0:01,Turbine starting,1,FALSE,FALSE,1.7
26/11/2014 12:38:20,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.7
26/11/2014 20:58:48,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,7
26/11/2014 21:04:17,0,1,0:01,Turbine starting,1,FALSE,FALSE,5.4
26/11/2014 21:05:28,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.9
27/11/2014 03:23:55,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,9
27/11/2014 03:26:41,0,2,0:02,Turbine operational,1,FALSE,FALSE,4.6
27/11/2014 03:28:59,0,1,0:01,Turbine starting,1,FALSE,FALSE,7.3
27/11/2014 03:30:06,0,0,0:00,Turbine in operation,1,FALSE,FALSE,10.2
27/11/2014 04:22:50,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.4
27/11/2014 04:23:36,0,2,0:02,Turbine operational,1,FALSE,FALSE,6.9
27/11/2014 04:25:55,0,1,0:01,Turbine starting,1,FALSE,FALSE,7
27/11/2014 04:27:03,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.4
27/11/2014 05:01:51,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8
27/11/2014 05:04:37,0,2,0:02,Turbine operational,1,FALSE,FALSE,5.5
27/11/2014 05:06:56,0,1,0:01,Turbine starting,1,FALSE,FALSE,6.3
27/11/2014 05:08:06,0,0,0:00,Turbine in operation,1,FALSE,FALSE,7.6
27/11/2014 05:29:51,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,10
27/11/2014 05:30:36,0,2,0:02,Turbine operational,1,FALSE,FALSE,11.7
27/11/2014 05:32:53,0,1,0:01,Turbine starting,1,FALSE,FALSE,12.2
27/11/2014 05:34:00,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.3
27/11/2014 08:50:30,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,13.1
27/11/2014 08:50:52,0,2,0:02,Turbine operational,1,FALSE,FALSE,15.9
27/11/2014 08:53:14,0,1,0:01,Turbine starting,1,FALSE,FALSE,14.7
27/11/2014 08:54:16,0,0,0:00,Turbine in operation,1,FALSE,FALSE,13.4
27/11/2014 09:23:53,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,14.6
27/11/2014 09:24:17,0,2,0:02,Turbine operational,1,FALSE,FALSE,8.6
27/11/2014 09:26:39,0,1,0:01,Turbine starting,1,FALSE,FALSE,13
27/11/2014 09:27:36,0,0,0:00,Turbine in operation,1,FALSE,FALSE,14.2
27/11/2014 13:25:15,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,10.2
27/11/2014 13:25:38,0,2,0:02,Turbine operational,1,FALSE,FALSE,7.8
27/11/2014 13:28:04,0,1,0:01,Turbine starting,1,FALSE,FALSE,9.2
27/11/2014 13:29:08,0,0,0:00,Turbine in operation,1,FALSE,FALSE,12.6
27/11/2014 14:02:50,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,16
27/11/2014 14:03:11,0,2,0:02,Turbine operational,1,FALSE,FALSE,13.4
27/11/2014 14:05:33,0,1,0:01,Turbine starting,1,FALSE,FALSE,11.5
27/11/2014 14:06:29,0,0,0:00,Turbine in operation,1,FALSE,FALSE,17.6
27/11/2014 14:21:29,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,14.6
27/11/2014 14:21:51,0,2,0:02,Turbine operational,1,FALSE,FALSE,18
27/11/2014 14:24:13,0,1,0:01,Turbine starting,1,FALSE,FALSE,16.3
27/11/2014 14:25:07,0,0,0:00,Turbine in operation,1,FALSE,FALSE,16.8
28/11/2014 17:24:36,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,10.8
28/11/2014 17:24:58,0,2,0:02,Turbine operational,1,FALSE,FALSE,11
28/11/2014 17:27:22,0,1,0:01,Turbine starting,1,FALSE,FALSE,11.2
28/11/2014 17:27:57,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,10.1
28/11/2014 17:28:07,0,1,0:01,Turbine starting,1,FALSE,FALSE,12.9
28/11/2014 17:28:31,0,0,0:00,Turbine in operation,1,FALSE,FALSE,12.2
29/11/2014 12:03:48,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.1
29/11/2014 12:28:35,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.4
29/11/2014 12:28:37,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.4
29/11/2014 12:32:14,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.5
29/11/2014 12:46:12,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
29/11/2014 13:31:21,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.4
29/11/2014 13:31:23,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.5
29/11/2014 13:34:59,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.4
30/11/2014 17:15:44,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.1
30/11/2014 18:58:48,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.1
30/11/2014 18:58:50,0,1,0:01,Turbine starting,1,FALSE,FALSE,1
30/11/2014 19:02:25,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.4
30/11/2014 23:12:18,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.1
30/11/2014 23:12:20,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.5
30/11/2014 23:15:57,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.8
1/12/2014 1:48,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.2
1/12/2014 3:27,0,2,0:02,Turbine operational,1,FALSE,FALSE,3
1/12/2014 3:27,0,1,0:01,Turbine starting,1,FALSE,FALSE,3
1/12/2014 3:30,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.2
1/12/2014 4:17,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.8
1/12/2014 5:22,0,2,0:02,Turbine operational,1,FALSE,FALSE,3.2
1/12/2014 5:22,0,1,0:01,Turbine starting,1,FALSE,FALSE,3.3
1/12/2014 5:25,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.8
2/12/2014 13:34,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,7.2
2/12/2014 13:37,8,0,8:00,Maintenance,6,TRUE,FALSE,5.9
2/12/2014 14:19,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,6.9
2/12/2014 14:26,0,0,0:00,Turbine in operation,1,FALSE,FALSE,5.9
4/12/2014 10:47,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
4/12/2014 11:11,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.4
4/12/2014 11:11,0,1,0:01,Turbine starting,1,FALSE,FALSE,1.4
4/12/2014 11:15,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.9
4/12/2014 12:01,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.3
4/12/2014 14:55,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.7
4/12/2014 14:55,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.6
4/12/2014 14:59,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.4
4/12/2014 16:39,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.9
4/12/2014 18:48,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.4
4/12/2014 18:48,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.4
4/12/2014 18:52,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.8
5/12/2014 1:41,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8
5/12/2014 1:44,0,2,0:02,Turbine operational,1,FALSE,FALSE,10.8
5/12/2014 1:46,0,1,0:01,Turbine starting,1,FALSE,FALSE,9.7
5/12/2014 1:47,0,0,0:00,Turbine in operation,1,FALSE,FALSE,10
5/12/2014 2:14,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.8
5/12/2014 2:15,0,2,0:02,Turbine operational,1,FALSE,FALSE,8.1
5/12/2014 2:17,0,1,0:01,Turbine starting,1,FALSE,FALSE,13.3
5/12/2014 2:18,0,0,0:00,Turbine in operation,1,FALSE,FALSE,11.8
5/12/2014 2:38,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,9
5/12/2014 2:40,0,2,0:02,Turbine operational,1,FALSE,FALSE,10.3
5/12/2014 2:43,0,1,0:01,Turbine starting,1,FALSE,FALSE,11.7
5/12/2014 2:44,0,0,0:00,Turbine in operation,1,FALSE,FALSE,11.5
5/12/2014 2:50,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.6
5/12/2014 2:50,0,2,0:02,Turbine operational,1,FALSE,FALSE,11.3
